Index,Structure-ID,X,Y,Z,[0.001 Gene Threshold] K=13,[0.01 Gene Threshold] K=13,[85% Active Gene Threshold] K=13,[70% Edge Voxels] K=13,[Actb-74881516] K=13,[Chat-252] K=13
563,1048,57,31,26,2,2,6,3,5,4
564,1048,58,31,26,2,8,6,7,12,4
565,1048,59,31,26,2,8,2,7,12,4
566,1048,60,31,26,2,8,2,7,5,0
567,1048,61,31,26,2,8,2,,5,1
568,1107,62,31,26,2,8,2,,12,5
569,1107,63,31,26,9,4,2,1,9,7
570,1107,64,31,26,9,4,0,1,9,0
571,1048,54,32,26,12,8,1,7,9,1
572,1048,55,32,26,12,8,1,7,9,4
573,1048,56,32,26,2,8,9,7,12,1
574,1048,57,32,26,2,8,6,3,12,7
575,1048,58,32,26,2,8,1,7,5,7
576,1048,59,32,26,12,8,1,7,12,7
577,1048,60,32,26,2,8,2,7,5,0
578,1048,61,32,26,2,8,2,,5,10
579,1107,62,32,26,2,8,2,1,5,8
580,1107,63,32,26,2,8,2,1,1,7
581,1107,64,32,26,2,8,0,1,12,0
582,307,53,33,26,12,8,2,,12,9
583,1048,54,33,26,12,8,1,,1,1
584,1048,55,33,26,12,8,1,7,6,7
585,1048,56,33,26,12,8,9,7,12,5
586,1048,57,33,26,12,8,1,7,12,10
587,1048,58,33,26,12,8,1,7,12,10
588,1048,59,33,26,7,8,1,7,9,1
589,1048,60,33,26,12,8,1,7,5,0
590,1107,62,33,26,2,8,2,,5,8
591,307,53,34,26,12,8,11,,1,9
592,307,54,34,26,7,3,11,,9,7
593,307,55,34,26,7,3,1,,10,1
594,1048,56,34,26,7,3,9,,1,8
595,1048,57,34,26,7,3,1,,12,10
596,1048,58,34,26,7,3,1,,9,10
597,307,59,34,26,7,3,1,,10,1
598,1048,60,34,26,7,3,1,,9,0
599,307,54,35,26,4,4,11,8,0,4
600,307,55,35,26,4,3,11,,4,7
601,307,56,35,26,7,3,3,,1,10
602,307,57,35,26,7,3,3,,12,7
603,307,58,35,26,7,3,3,,6,1
604,307,59,35,26,7,3,3,8,7,7
605,307,60,35,26,7,3,3,5,10,0
606,307,55,36,26,1,5,7,6,7,9
607,307,57,36,26,4,12,3,8,0,4
608,307,58,36,26,4,12,3,8,4,4
609,773,60,26,27,3,9,8,,11,0
610,970,55,27,27,9,5,6,,7,12
611,970,56,27,27,9,5,2,,7,4
612,970,57,27,27,3,7,2,5,11,4
613,970,58,27,27,3,7,5,,11,4
614,970,59,27,27,3,7,5,,11,4
615,773,61,27,27,3,6,8,,7,1
616,773,62,27,27,3,6,10,9,4,10
617,1048,54,28,27,6,2,6,3,1,4
