index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Chat-252
401,68194,136,55,33,24,2,5,6,2,0.053829614
402,68195,1048,56,33,24,2,5,2,11,0.07296985
403,68196,1048,57,33,24,2,2,6,6,0.042680267
404,68197,1048,58,33,24,1,4,5,5,0.01896056
405,68198,1048,59,33,24,1,1,1,10,0.012848185
406,68200,1048,61,33,24,1,4,5,8,0.02232128
407,68201,1107,62,33,24,2,2,3,12,0.029895587
408,68202,1107,63,33,24,3,1,7,1,0.009175419
409,68203,1107,64,33,24,0,0,0,0,-1.0
410,68260,661,54,34,24,1,1,1,10,0.014112141
411,68261,661,55,34,24,2,5,6,6,0.050870243
412,68262,978,56,34,24,2,5,2,11,0.06957724
413,68263,1048,57,34,24,2,2,3,3,0.035725195
414,68264,1048,58,34,24,1,4,5,5,0.018468456
415,68265,1048,59,34,24,1,4,5,10,0.015905457
416,68268,1107,62,34,24,1,4,3,12,0.026210962
417,68269,1107,63,34,24,3,1,7,7,0.00772349
418,68327,661,54,35,24,3,3,7,7,0.00635028
419,68328,661,55,35,24,1,4,3,12,0.026644347
420,68329,978,56,35,24,2,2,3,3,0.03324313
421,68330,978,57,35,24,1,4,5,5,0.018398436
422,68331,978,58,35,24,1,1,1,10,0.012962941
423,68332,307,59,35,24,1,1,1,1,0.011398538
424,68336,1107,63,35,24,3,3,4,4,0.00411645
425,68393,307,53,36,24,3,3,4,9,0.000167245
426,68394,661,54,36,24,3,3,4,9,0.001644832
427,68396,978,56,36,24,3,1,7,1,0.009166192
428,68397,978,57,36,24,3,3,7,4,0.005214945
429,68398,978,58,36,24,3,3,7,7,0.006310672
430,68399,307,59,36,24,3,3,7,4,0.005370595
431,68465,978,58,37,24,3,3,4,9,0.001953477
432,70538,136,54,27,25,3,3,4,9,0.002660217
433,70541,136,57,27,25,3,3,4,4,0.004770432
434,70542,136,58,27,25,3,3,7,7,0.006925892
435,70543,136,59,27,25,1,1,1,1,0.010592
436,70544,136,60,27,25,0,0,0,0,-1.0
437,70545,136,61,27,25,1,1,1,1,0.010847814
438,70546,136,62,27,25,1,1,1,1,0.010494647
439,70547,136,63,27,25,3,3,7,7,0.006367777
440,70548,136,64,27,25,0,0,0,0,-1.0
441,70605,136,54,28,25,3,3,4,4,0.004813
442,70608,136,57,28,25,3,3,4,4,0.004247764
443,70609,1048,58,28,25,3,3,7,7,0.005734687
444,70610,136,59,28,25,3,3,7,7,0.006659773
445,70611,136,60,28,25,0,0,0,0,-1.0
446,70612,136,61,28,25,3,1,7,1,0.008802573
447,70613,136,62,28,25,1,1,1,10,0.01362066
448,70614,136,63,28,25,3,3,7,7,0.006554275
449,70615,136,64,28,25,0,0,0,0,-1.0
450,70672,136,54,29,25,3,3,7,7,0.006198541
451,70673,136,55,29,25,3,3,4,9,0.002209308
452,70674,1048,56,29,25,3,3,4,9,0.002165551
453,70675,136,57,29,25,3,3,4,4,0.004140997
454,70676,1048,58,29,25,3,3,7,4,0.005308508
455,70677,136,59,29,25,3,3,4,4,0.003704154
456,70678,1048,60,29,25,0,0,0,0,-1.0
457,70679,1048,61,29,25,3,1,7,7,0.00777819
458,70680,1107,62,29,25,1,4,5,10,0.015780807
459,70681,1107,63,29,25,3,1,7,7,0.007276507
460,70682,1107,64,29,25,0,0,0,0,-1.0
461,70739,136,54,30,25,3,1,7,7,0.007409308
462,70740,136,55,30,25,3,3,4,4,0.003277158
463,70741,136,56,30,25,3,3,4,4,0.004471873
464,70742,1048,57,30,25,3,3,4,4,0.00383924
465,70743,1048,58,30,25,3,3,7,4,0.005180826
466,70744,1048,59,30,25,3,3,4,9,0.002778071
467,70745,1048,60,30,25,0,0,0,0,-1.0
468,70746,1048,61,30,25,3,1,1,1,0.009782111
469,70747,1107,62,30,25,1,4,5,5,0.017819615
470,70748,1107,63,30,25,3,1,7,7,0.00748949
471,70749,1107,64,30,25,0,0,0,0,-1.0
472,70806,1048,54,31,25,1,1,1,1,0.012471112
473,70807,136,55,31,25,3,3,7,7,0.007022626
474,70808,1048,56,31,25,1,1,1,1,0.012052226
475,70809,1048,57,31,25,3,3,7,7,0.006307582
476,70810,1048,58,31,25,3,3,7,4,0.005417957
477,70811,1048,59,31,25,3,3,4,4,0.004350032
478,70812,1048,60,31,25,0,0,0,0,-1.0
479,70813,1048,61,31,25,1,1,1,10,0.015282397
480,70814,1107,62,31,25,1,4,5,8,0.023767209
481,70815,1107,63,31,25,3,1,7,7,0.008295354
482,70816,1107,64,31,25,0,0,0,0,-1.0
483,70873,1048,54,32,25,1,4,5,10,0.015923398
484,70874,136,55,32,25,1,1,1,10,0.015155318
485,70875,1048,56,32,25,2,2,3,3,0.032886125
486,70876,1048,57,32,25,1,1,5,10,0.015696062
487,70877,1048,58,32,25,3,1,7,1,0.009293567
488,70878,1048,59,32,25,3,3,7,7,0.006461524
489,70879,1048,60,32,25,0,0,0,0,-1.0
490,70880,1048,61,32,25,1,4,5,5,0.020635284
491,70881,1107,62,32,25,1,4,3,12,0.026184143
492,70882,1107,63,32,25,3,1,7,7,0.008124576
493,70883,1107,64,32,25,0,0,0,0,-1.0
494,70940,1048,54,33,25,1,4,5,5,0.016988391
495,70941,1048,55,33,25,2,2,3,12,0.029585276
496,70942,1048,56,33,25,2,5,6,6,0.05282402
