index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
237,65054,1098,64,27,23,2,4,7,7,0.17209017
238,65111,852,54,28,23,3,3,3,3,0.10859913
239,65112,852,55,28,23,3,1,5,5,0.12394762
240,65113,852,56,28,23,1,5,6,9,0.14173846
241,65114,852,57,28,23,0,0,0,0,0.15432629
242,65115,852,58,28,23,0,0,4,10,0.16052617
243,65116,852,59,28,23,2,4,7,7,0.17241333
244,65117,852,60,28,23,2,2,7,2,0.17824984
245,65118,852,61,28,23,2,2,2,2,0.18400557
246,65119,852,62,28,23,2,2,2,11,0.18867633
247,65120,1098,63,28,23,2,2,2,2,0.18204664
248,65121,1098,64,28,23,0,4,4,4,0.16193669
249,65122,1098,65,28,23,1,5,6,9,0.14430504
250,65177,136,53,29,23,3,1,5,5,0.12350471
251,65178,852,54,29,23,3,3,3,3,0.10945784
252,65179,852,55,29,23,3,1,5,5,0.12190626
253,65180,852,56,29,23,3,1,5,12,0.12979643
254,65181,852,57,29,23,1,5,6,6,0.14556733
255,65182,852,58,29,23,0,0,4,10,0.16039301
256,65183,852,59,29,23,2,4,7,4,0.16778132
257,65184,136,60,29,23,0,4,4,4,0.16628109
258,65185,136,61,29,23,0,4,4,4,0.16736422
259,65186,136,62,29,23,2,4,7,7,0.16953386
260,65187,136,63,29,23,2,4,7,7,0.16921903
261,65188,136,64,29,23,0,0,4,10,0.15916638
262,65189,1098,65,29,23,1,0,0,6,0.14932321
263,65244,136,53,30,23,3,1,5,12,0.1287028
264,65245,136,54,30,23,3,1,5,5,0.1238955
265,65246,852,55,30,23,3,1,1,12,0.13108633
266,65247,136,56,30,23,3,1,5,5,0.12271738
267,65248,136,57,30,23,1,5,1,1,0.13807493
268,65249,136,58,30,23,0,0,0,10,0.15678824
269,65250,136,59,30,23,0,4,4,4,0.1632844
270,65251,136,60,30,23,0,0,0,0,0.15569477
271,65252,136,61,30,23,0,0,0,10,0.15609646
272,65253,136,62,30,23,0,0,4,10,0.15832502
273,65254,136,63,30,23,0,0,4,10,0.15949203
274,65255,136,64,30,23,0,0,0,10,0.1570243
275,65311,136,53,31,23,1,5,1,1,0.13725948
276,65312,136,54,31,23,1,5,6,9,0.14062446
277,65313,136,55,31,23,1,5,1,9,0.13963369
278,65314,136,56,31,23,3,1,5,5,0.121621616
279,65315,136,57,31,23,1,5,6,9,0.14341396
280,65316,136,58,31,23,0,0,4,10,0.15923037
281,65317,136,59,31,23,0,4,4,4,0.16234331
282,65319,136,61,31,23,0,0,0,0,0.15443578
283,65320,136,62,31,23,0,0,0,10,0.158072
284,65321,136,63,31,23,0,0,0,10,0.15603809
285,65322,1107,64,31,23,0,0,0,0,0.15213832
286,65379,136,54,32,23,1,5,6,9,0.14388305
287,65380,136,55,32,23,1,5,1,1,0.138347
288,65381,136,56,32,23,3,1,5,5,0.12502287
289,65382,136,57,32,23,0,0,0,0,0.15294935
290,65383,136,58,32,23,0,0,4,10,0.15902565
291,65384,136,59,32,23,0,0,4,10,0.15834986
292,65385,1048,60,32,23,1,5,6,9,0.14058858
293,65386,1048,61,32,23,0,0,0,0,0.15505223
294,65387,1107,62,32,23,0,4,4,4,0.16385533
295,65388,1107,63,32,23,0,4,4,4,0.16519074
296,65389,1107,64,32,23,0,0,0,0,0.15423356
297,65445,661,53,33,23,1,5,1,1,0.13726202
298,65446,661,54,33,23,1,5,1,1,0.13664289
299,65447,661,55,33,23,3,1,1,12,0.13097377
300,65448,661,56,33,23,3,1,5,5,0.12585974
301,65449,136,57,33,23,0,0,0,0,0.15526824
302,65450,136,58,33,23,0,0,0,0,0.15406358
303,65451,978,59,33,23,0,0,4,10,0.15962659
304,65452,978,60,33,23,1,5,6,9,0.14311959
305,65453,978,61,33,23,0,0,0,0,0.15321243
306,65454,1107,62,33,23,0,4,4,4,0.16532412
307,65455,1107,63,33,23,2,4,7,7,0.17246085
308,65456,1107,64,33,23,3,1,1,12,0.1311459
309,65512,661,53,34,23,3,1,1,12,0.1305354
310,65513,661,54,34,23,1,5,1,1,0.13568278
311,65514,661,55,34,23,1,1,1,1,0.13501458
312,65515,661,56,34,23,3,1,5,5,0.12175885
313,65516,978,57,34,23,1,5,6,9,0.14042297
